ticket_id,user_id,customer,category,priority,description,attribute_list,sensitive_flag
0,107,1,7,3,"Hi, I have a need of Dishwasher in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
1,118,3,0,2,Hi team I want to access http://doyle.info/ website for research purpose kindly remove the site from the proxy,url,0
2,92,1,4,3,Hi HR team I want to refer my friend for the Clothing/textile technologist but I cannot access the referral site. Can you please accept this referral through this mail.,job,0
3,158,0,7,2,"Hi team, I need the catalogue of available Sewing Machine for purchase with the price listed. Please send me the catalogue.",product_name,0
4,12,1,1,3,"Hi, I need a corporate credit card for my international travel with the $20,864.83. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
5,101,2,4,3,"Hi I am Taylor Williams, currently working as Homeopath. I want to upskill and move up the ladder. For that i need access to few educational resources listed below. Please approve the access for same",name job,1
6,79,2,7,3,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
7,113,2,6,2,"Hi, I have been logged out of my account and cannot login back. my username is stephanie73. Please resolve it.",username,0
8,108,2,1,2,"Hi, I need a corporate credit card for my international travel with the $3,647.17. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
9,17,4,6,2,"I am unable to log in to my account. My credentials are, username derek65, email webbcarolyn@hotmail.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
10,84,0,7,0,"Hi, I have a need of Dryer in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
11,188,1,1,2,"Hi, I need a corporate credit card for my international travel with the $5.89. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
12,185,1,6,3,"Hi team, i do not need access the master database now due to project change. Please revoke my access.",,0
13,178,4,4,3,"Hi Team, can you please confirm whether on the 1991-09-05 we have a vacation or not as in my state it is a regional festival.",date,0
14,189,2,3,1,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
15,177,1,1,2,"Hi, my team needs a new Dishwasher for the project kindly help us to come up with the quote for the said product.",product_name,0
16,40,0,5,3,Hi I want to apply for the cashless mode of hospitalization. please provide me the list of hospital that provide cashless mode in my city Willisfort.,city,0
17,96,3,7,3,"Hi, I have a need of Microwave in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
18,14,1,5,2,"Hi,I am Tony Leonard and from 54629 Julie Turnpike Apt. 701
Port Roberttown, AZ 04215. 
I am having trouble with my medical claim, my employee ID is EMP537-80-5323 and amount was $7.89. 
The payment was made through my credit card 4678218466637495110. 
My other details such as designation is Education officer, museum email is suzanne04@gmail.com and postal code is 48650. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
19,184,0,1,3,"Hi,I am Amber Smith and my employee ID is EMP576-35-6214. 
I am having trouble with my hardware claim, my expense amount was $80,941.44 for reimbursement. 
My other details such as designation is Curator, userid leekristen and email is alan60@hotmail.com.",name ssn money job username mail,1
20,181,1,5,3,Hi I want to apply for the cashless mode of hospitalization. please provide me the list of hospital that provide cashless mode in my city Mistyfort.,city,0
21,26,0,5,3,"Hi,I am Charles Perez and from 9628 Hayes Island
South Mark, GA 77346. 
I am having trouble with my medical claim, my employee ID is EMP341-79-8573 and amount was $7,569.25. 
The payment was made through my credit card 4885985607885690. 
My other details such as designation is Research scientist (physical sciences) email is justin93@yahoo.com and postal code is 53573. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
22,118,3,4,2,"Hi Team, I was wondering whether this Midwife is still available in this team. I want to refer my friend for this role. please confirm.",job,0
23,30,0,2,3,"Hi,I am Lindsey Gallegos and my employee ID is EMP470-36-6775. 
I am having trouble with my travel claim, my expense amount was $147.67 for reimbursement.
 My other details such as designation is Horticultural consultant and email is angelalane@hotmail.com. 
The payment was done with given credit card number 3518533935508100 and credit card type VISA 16 digit.",name ssn money job mail credit_card_number cc_provider,1
24,51,1,2,0,"Hi, I need $3.47 for my international business travel that is on 1999-09-08 please see the attached itinerary and approval. Thank you.",money date,0
25,92,1,5,2,"Hi, I had applied for the claim on 2006-06-24. I can see there is no progress on the claim. Please expedite the claim process.",date,0
26,39,3,5,3,"hi, what are the documents needed for new enrollment in health insurance. Please guide me.",,0
27,197,1,2,3,"Dear team, I am shifting to North Jeffside from Port Heathermouth due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
28,5,0,4,2,"Hi team, I want to avail the maternity benefit from 2000-04-28. My employee ID is 284-45-3112 and designation is Chartered legal executive (England and Wales). Kindly approve the same. Ihave attched the required documents. PFA",date ssn job,1
29,188,1,3,3,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
30,185,1,1,3,"Hi, I need a corporate credit card for my international travel with the $3,825.56. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
31,7,0,2,2,"Dear team, I am shifting to Port Victor from West Tiffany due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
32,68,3,0,1,Hi team my mailbox is full and I need require more storage for my mailbox. I cannot delete existing mail as they are important client mails,,0
33,57,4,5,1,"Hi, I had applied for the claim on 1975-07-13. I can see there is no progress on the claim. Please expedite the claim process.",date,0
34,191,3,4,3,Hi HR team I want to refer my friend for the Recycling officer but I cannot access the referral site. Can you please accept this referral through this mail.,job,0
35,121,0,6,2,"Hi, I have been logged out of my account and cannot login back. my username is friedmanrobert. Please resolve it.",username,0
36,133,2,4,0,Hi HR team I want to refer my friend for the Travel agency manager but I cannot access the referral site. Can you please accept this referral through this mail.,job,0
37,41,0,6,2,"Hi, I have been logged out of my account and cannot login back. my username is alanroach. Please resolve it.",username,0
38,94,3,0,3,"Hi, I need to the installation of ServiceNow for development purpose of my project.",software,0
39,113,2,7,2,"Hi team, I need the catalogue of available Ceiling Fan for purchase with the price listed. Please send me the catalogue.",product_name,0
40,155,0,0,2,Hi team I want to access https://cabrera.net/ website for research purpose kindly remove the site from the proxy,url,0
41,80,2,7,3,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
42,166,0,7,2,"Hi team, I need the catalogue of available Refrigerator for purchase with the price listed. Please send me the catalogue.",product_name,0
43,161,1,3,3,"Hi team, I am Karen Haney, employee id 696-91-7919. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
44,61,3,2,3,"Dear team, I am shifting to Thomasstad from West Jeffrey due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
45,97,2,7,3,"I am experiencing technical issues with Water Purifier. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username garciaandrew, Email saraarnold@hotmail.com.",product_name username mail,1
46,127,1,0,1,"Hi, I need to the installation of Outlook for development purpose of my project.",software,0
47,32,0,3,3,"Hi team, I want a leave from 1988-02-11 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Heather Gamble PhD, designation Doctor, general practice",date name job,1
48,27,0,3,3,"Hi team, my be leave balance shown in the system is not correct as of 1986-10-11. The leave shown are less. Please resolve the issue.",date,0
49,135,4,3,3,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
50,58,2,7,3,"Hi, I have a need of Garbage Disposal Unit in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
51,97,2,3,2,"Hi, I have applied for the sick leave on 1971-02-09 with which was approved by my manager but is not reflected on the system. Please resolve the issue.",date,0
52,160,0,1,3,"Hi, I need a corporate credit card for my international travel with the $3.50. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
53,20,2,2,3,"Hi, I need $6.63 for my international business travel that is on 1979-01-10 please see the attached itinerary and approval. Thank you.",money date,0
54,62,3,6,1,"Hi, I have been logged out of my account and cannot login back. my username is xesparza. Please resolve it.",username,0
55,108,2,4,2,Hi HR team I want to refer my friend for the Insurance risk surveyor but I cannot access the referral site. Can you please accept this referral through this mail.,job,0
56,86,1,4,3,"Hi Team, I was wondering whether this Horticultural therapist is still available in this team. I want to refer my friend for this role. please confirm.",job,0
57,175,4,7,3,"I am experiencing technical issues with Washing Machine. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username charles27, Email barbara86@gmail.com.",product_name username mail,1
58,107,1,7,3,"Hi team, I need the catalogue of available Garbage Disposal Unit for purchase with the price listed. Please send me the catalogue.",product_name,0
59,196,3,2,3,"Hi, I need $7,424.50 for my international business travel that is on 1991-07-04 please see the attached itinerary and approval. Thank you.",money date,0
60,38,1,2,2,"Dear team, I am shifting to Stricklandside from Wolfport due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
61,59,2,5,3,"hi, what are the documents needed for new enrollment in health insurance. Please guide me.",,0
62,62,3,2,3,"Hi, I need $8.83 for my international business travel that is on 1975-12-18 please see the attached itinerary and approval. Thank you.",money date,0
63,90,1,2,3,"Dear team, I am shifting to New Sydneyland from Denisehaven due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
64,38,1,7,3,"Hi, I have a need of Garbage Disposal Unit in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
65,106,3,7,3,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
66,1,3,1,3,"Hi, my team needs a new Hair Dryer for the project kindly help us to come up with the quote for the said product.",product_name,0
67,1,3,7,3,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
68,25,1,2,2,"Hi, I need $4.47 for my international business travel that is on 1970-12-09 please see the attached itinerary and approval. Thank you.",money date,0
69,37,3,2,3,"Hi, I need $27,648.70 for my international business travel that is on 2016-02-11 please see the attached itinerary and approval. Thank you.",money date,0
70,98,3,4,2,"Hi Team, I was wondering whether this Education officer, environmental is still available in this team. I want to refer my friend for this role. please confirm.",job,0
71,109,4,2,3,"Dear team, I am shifting to New Jenniferton from Mitchellport due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
72,6,4,2,1,"Hi, I need $131.43 for my international business travel that is on 1994-01-25 please see the attached itinerary and approval. Thank you.",money date,0
73,162,1,5,3,"Hi,I am Ashley Lloyd and I work in George, Lopez and Vargas. My employee ID is EMP319-21-3779. 
I am having trouble with health account, my userid is matthewhall and amount was $287.27. 
My postal code is 79578. My country of residence is 52798 Warner Mountain Suite 450
Tuckermouth, MN 22895. 
Please look into matter asap.",name company ssn username money zip_code address,1
74,36,2,6,3,"I am unable to log in to my account. My credentials are, username jenkinsbobby, email joelmarshall@yahoo.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
75,70,4,0,3,"Hi team, I want to upgrade the Photoshop for my project requirements. Kidly do the needful.",software,0
76,69,1,4,2,"Hi Team, can you please confirm whether on the 1972-09-15 we have a vacation or not as in my state it is a regional festival.",date,0
77,60,2,2,3,"Hi, I need $3.80 for my international business travel that is on 2018-03-10 please see the attached itinerary and approval. Thank you.",money date,0
78,114,0,0,2,"Hi team, I want to upgrade the Procore for my project requirements. Kidly do the needful.",software,0
79,117,3,4,3,"Hi Team, can you please confirm whether on the 2011-09-21 we have a vacation or not as in my state it is a regional festival.",date,0
80,42,2,7,2,"Hi, I have a need of Air Purifier in my team. How long it will take for us to procure it? Do we have any spare available. I need it urgently for our project.",product_name,0
81,187,0,7,0,"Hi team, I need the catalogue of available Toaster for purchase with the price listed. Please send me the catalogue.",product_name,0
82,192,0,1,3,"Hi, I need a corporate credit card for my international travel with the $25,279.84. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
83,81,2,1,2,"Hi, my team needs a new Freezer for the project kindly help us to come up with the quote for the said product.",product_name,0
84,22,1,4,3,"Hi Team, can you please confirm whether on the 2006-01-30 we have a vacation or not as in my state it is a regional festival.",date,0
85,92,1,6,1,"Hi team, I need access to the intern portal. please enable it for me.",,0
86,134,0,6,2,"Hi team, I need access to the intern portal. please enable it for me.",,0
