ticket_id,user_id,customer,category,priority,description,attribute_list,sensitive_flag
0,8,0,1,3,"I made a payment of $299.52 for my account on 2019-11-27, but it has not been credited yet. The payment was made using my credit card 502016834926. I have attached a copy of the payment receipt for your reference. Please investigate the issue and update me on the status of the payment. My email address is kingmatthew@gmail.com and phone number is 1090678616979",money date credit_card_number mail phone_number,1
1,147,3,1,3,"I made a payment of $24.46 for my account on 1981-09-30, but it has not been credited yet. The payment was made using my credit card 4298549628673013. I have attached a copy of the payment receipt for your reference. Please investigate the issue and update me on the status of the payment. My email address is xtrujillo@yahoo.com and phone number is 6540885337038",money date credit_card_number mail phone_number,1
2,197,2,0,3,"hi team, I am Jermaine Ruiz and my employee id is 508-43-5362. I need the installation of iCIMS for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
3,145,1,1,3,"Hi,I am Donna Johnson and my employee ID is EMP544-50-8119. 
I am having trouble with my hardware claim, my expense amount was $0.79 for reimbursement. 
My other details such as designation is Private music teacher, userid yjames and email is williamsconnor@gmail.com.",name ssn money job username mail,1
4,130,4,4,2,"Hi Team, can you please confirm whether on the 1977-01-11 we have a vacation or not as in my state it is a regional festival.",date,0
5,144,1,4,3,"Hi I am Belinda Chung, currently working as Occupational psychologist. I want to upskill and move up the ladder. For that i need access to few educational resources listed below. Please approve the access for same",name job,1
6,95,1,7,3,"I am experiencing technical issues with Waffle Iron. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username ericlam, Email bthompson@hotmail.com.",product_name username mail,1
7,25,3,3,3,"Hi team, I want a leave from 1989-06-08 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Colton Jensen, designation Civil engineer, consulting",date name job,1
8,36,2,3,3,"Hi team, I want a leave from 1973-11-11 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Mr. Matthew Sanchez MD, designation Land",date name job,1
9,173,4,1,3,"Hi,I am Crystal Gibson and my employee ID is EMP255-59-7959. 
I am having trouble with my hardware claim, my expense amount was $3,649.38 for reimbursement. 
My other details such as designation is Contracting civil engineer, userid palmerdeborah and email is obarrett@hotmail.com.",name ssn money job username mail,1
10,63,0,6,0,"I have recently moved and would like to update my account information with my new address. My new address is 5388 William Branch Suite 292
Mindyfort, WV 04943. Please assist me with updating my account information.",residence,1
11,193,4,5,3,"Hi,I am Bradley Schwartz and from 322 Lawrence Avenue
North Dustin, IA 52575. 
I am having trouble with my medical claim, my employee ID is EMP439-06-5653 and amount was $8,199.41. 
The payment was made through my credit card 3559400508264554. 
My other details such as designation is Diplomatic Services operational officer email is michellemoore@hotmail.com and postal code is 48916. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
12,11,1,3,2,"Hi team, I want a leave from 2011-06-06 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Taylor Freeman, designation Conservation officer, nature",date name job,1
13,118,1,3,3,"Hi team, I want a leave from 1999-11-07 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Barry Palmer, designation Media buyer",date name job,1
14,157,1,4,0,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 310-05-6452. Please initiate the recruitment under my project. thanks",ssn,1
15,133,4,7,0,"I recently purchased Hair Dryer for the amount $3,100.30 on date 2013-12-23, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 2002-08-22 from my home 274 Jennifer Cove Apt. 716
Wrightfurt, OK 67437 and initiate a refund to my credit card 6527293995126150.",product_name money date date residence credit_card_number,1
16,24,4,4,3,"Hi I am Tracy Singh, currently working as Horticulturist, commercial. I want to upskill and move up the ladder. For that i need access to few educational resources listed below. Please approve the access for same",name job,1
17,30,2,7,3,"I am experiencing technical issues with Refrigerator. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username torreskyle, Email trevinotony@gmail.com.",product_name username mail,1
18,91,1,3,2,"Hi team, I want a leave from 2010-04-10 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Kayla Stephens MD, designation Chief Financial Officer",date name job,1
19,184,1,6,1,"Hi team, i do not need access the master database now due to project change. Please revoke my access.",,0
20,160,4,1,3,"I noticed unauthorized transactions on my credit card statement for the amount of $59,364.53 on 2019-03-28. The transactions are listed as Mcmillan-Kelley. I did not authorize these transactions and would like them to be reversed immediately to my credit card 213128753642562.",money date company credit_card_number,1
21,47,3,6,2,"I am unable to log in to my account. My credentials are, username gmarks, email michele12@yahoo.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
22,68,4,1,3,"Hi,I am Allen Torres and my employee ID is EMP843-24-1976. 
I am having trouble with my hardware claim, my expense amount was $2.95 for reimbursement. 
My other details such as designation is Fine artist, userid williamjensen and email is tracyconrad@hotmail.com.",name ssn money job username mail,1
23,26,1,0,3,"Hi team I want to access https://marquez.net/ website for research purpose kindly remove the site from the proxy. My employee id is 692-65-9655 and my profile is Geneticist, molecular.",url ssn job,1
24,81,1,7,3,"I recently purchased Dryer for the amount $940.77 on date 1987-02-04, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 1973-12-24 from my home 3963 Dixon Mill
South Michaelborough, WV 89095 and initiate a refund to my credit card 4838763284238.",product_name money date date residence credit_card_number,1
25,95,1,2,2,"Hi,I am Gregory Mason and my employee ID is EMP184-37-2985. 
I am having trouble with my travel claim, my expense amount was $68,123.83 for reimbursement.
 My other details such as designation is Radiographer, therapeutic and email is bthompson@hotmail.com. 
The payment was done with given credit card number 6572749530068607 and credit card type VISA 19 digit.",name ssn money job mail credit_card_number cc_provider,1
26,182,4,6,2,"I have recently moved and would like to update my account information with my new address. My new address is 03413 Simpson Street
Hughesville, OK 80128. Please assist me with updating my account information.",residence,1
27,53,3,3,3,"Hi team, I want a leave from 2007-05-26 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Patricia Williams, designation Health physicist",date name job,1
28,50,3,1,1,"Hi, I need a corporate credit card for my international travel with the $23.25. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
29,171,1,6,2,"I have recently moved and would like to update my account information with my new address. My new address is 567 Ronnie Landing
New Saraberg, ND 50240. Please assist me with updating my account information.",residence,1
30,138,4,2,1,"Hi,I am Samantha White and my employee ID is EMP519-92-7872. 
I am having trouble with my travel claim, my expense amount was $91,662.12 for reimbursement. 
My other details such as email is osmith@hotmail.com and postal code is 15858 and account number is RBNX64873023476040. 
Please look into matter asap. My place of residence is 198 Barry Knoll Suite 980
North Andrew, WI 55247.",name ssn money mail zip_code bank_account_number address,1
31,99,0,1,3,"Hi,I am Kelly Norris and my employee ID is EMP207-66-5455. 
I am having trouble with my hardware claim, my expense amount was $39.84 for reimbursement. 
My other details such as designation is Research scientist (physical sciences), userid qzuniga and email is deckerashley@hotmail.com.",name ssn money job username mail,1
32,3,1,1,1,I noticed unauthorized transactions on my credit card statement for the amount of $3.55 on 2010-04-05. The transactions are listed as Navarro LLC. I did not authorize these transactions and would like them to be reversed immediately to my credit card 4541617862680430524.,money date company credit_card_number,1
33,188,4,1,3,"Hi,I am Lori Robinson and my employee ID is EMP489-01-9637. 
I am having trouble with my hardware claim, my expense amount was $25.50 for reimbursement. 
My other details such as designation is Hydrologist, userid david21 and email is jonessandra@yahoo.com.",name ssn money job username mail,1
34,145,1,6,2,"Hi, I have been logged out of my account and cannot login back. my username is yjames. Please resolve it.",username,0
35,49,0,4,3,"Hi Team, I was wondering whether this Fast food restaurant manager is still available in this team. I want to refer my friend for this role. please confirm.",job,0
36,127,1,3,1,"Hi, since yesterday I am trying to apply for leave but I am not able to. The system shows an error. I have to take an urgent leave. Please resolve the issue.",,0
37,43,0,1,3,"Hi,I am Ashley Harvey and my employee ID is EMP773-07-5344. 
I am having trouble with my hardware claim, my expense amount was $150.61 for reimbursement. 
My other details such as designation is Consulting civil engineer, userid hodgelisa and email is mark85@hotmail.com.",name ssn money job username mail,1
38,104,2,5,1,"Hi,I am Melanie Martinez and my employee ID is EMP368-91-0293 from Delgado, Brown and Phillips. 
I am having trouble with health account, my National Health Scheme number is 368-91-0293 and amount was $8,564.14. 
My other details such as email is rebecca51@hotmail.com and postal code is 20183. 
Please look into matter. My place of residence is 319 Stephanie Manor
Lake Stacey, NC 78108.",name ssn company ssn money mail zip_code address,1
