ticket_id,user_id,customer,category,priority,description,attribute_list,sensitive_flag
0,85,3,5,1,"Hi,I am Gary Martin and I work in Deleon and Sons. My employee ID is EMP467-66-7052. 
I am having trouble with health account, my userid is derek04 and amount was $9.86. 
My postal code is 23371. My country of residence is 35513 Lucas Spur
Karenshire, OK 50776. 
Please look into matter asap.",name company ssn username money zip_code address,1
1,139,3,5,3,"Hi,I am Kelly Barber and I work in Coleman-Nelson. My employee ID is EMP618-61-7719. 
I am having trouble with health account, my userid is jacksoncaitlin and amount was $15,763.51. 
My postal code is 32470. My country of residence is 42901 Boyd Village Apt. 145
Josephfurt, MS 84380. 
Please look into matter asap.",name company ssn username money zip_code address,1
2,146,0,4,3,"Hi Team, can you please confirm whether on the 1974-09-20 we have a vacation or not as in my state it is a regional festival.",date,0
3,22,0,3,3,"Hi team, my be leave balance shown in the system is not correct as of 2002-04-17. The leave shown are less. Please resolve the issue.",date,0
4,41,1,5,2,"Hi,I am Ashley Conley and from 90010 Kathleen Divide Suite 518
Payneton, FL 64631. 
I am having trouble with my medical claim, my employee ID is EMP713-52-7425 and amount was $4.29. 
The payment was made through my credit card 3517749961858836. 
My other details such as designation is Cartographer email is tgarcia@hotmail.com and postal code is 20176. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
5,70,4,0,2,Hi team I want to access https://www.goodwin.biz/ website for research purpose kindly remove the site from the proxy. My employee id is 566-61-8419 and my profile is Water engineer.,url ssn job,1
6,99,3,3,3,"Hi team, I am Zachary Steele, employee id 123-04-0188. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
7,106,4,3,3,"Hi team, I want a leave from 2021-04-12 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Heather Haley, designation Publishing copy",date name job,1
8,26,2,2,2,"Dear team, I am shifting to Lake Robertamouth from East Amber due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
9,62,3,2,3,"Dear team, I am shifting to West Thomas from Josefurt due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
10,161,4,5,3,"Hi,I am David Hawkins and my employee ID is EMP560-19-5915 from Sharp-Barnes. 
I am having trouble with health account, my National Health Scheme number is 560-19-5915 and amount was $2,705.61. 
My other details such as email is eparker@hotmail.com and postal code is 34464. 
Please look into matter. My place of residence is 4214 Baldwin Stream Suite 837
Port Jacobtown, NJ 61541.",name ssn company ssn money mail zip_code address,1
11,170,1,4,3,"Hi Team, can you please confirm whether on the 1973-05-01 we have a vacation or not as in my state it is a regional festival.",date,0
12,1,3,0,3,"hi team, I am April Edwards and my employee id is 180-33-7848. I need the installation of Salesforce for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
13,121,2,6,3,"Hi, I have been logged out of my account and cannot login back. my username is gregory40. Please resolve it.",username,0
14,115,4,0,3,Hi team my mailbox is full and I need require more storage for my mailbox. I cannot delete existing mail as they are important client mails,,0
15,111,2,1,1,Hi team I want to change my salary structure according to the given details please update my salary structure.,,0
16,26,2,1,1,"Hi, I need a corporate credit card for my international travel with the $85,366.97. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
17,125,2,6,3,"I am unable to log in to my account. My credentials are, username john71, email ecunningham@yahoo.com. I have verified that the username and password are correct, but the system keeps displaying an error message. I have tried resetting my password and clearing my cache, but the issue persists.",username mail,1
18,111,2,0,1,Hi team my mailbox is full and I need require more storage for my mailbox. I cannot delete existing mail as they are important client mails,,0
