ticket_id,user_id,customer,category,priority,description,attribute_list,sensitive_flag
0,1,3,3,2,"Hi team, I am Emily Ortiz, employee id 798-72-7007. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
1,52,2,6,3,"I have recently moved and would like to update my account information with my new address. My new address is 561 John Prairie
Garyburgh, CA 89521. Please assist me with updating my account information.",residence,1
2,135,0,0,0,Hi team I want to access https://www.romero.com/ website for research purpose kindly remove the site from the proxy,url,0
3,189,4,7,3,"Hi team, I need the catalogue of available Water Purifier for purchase with the price listed. Please send me the catalogue.",product_name,0
4,157,3,4,3,"Hi Team, can you please confirm whether on the 1985-10-23 we have a vacation or not as in my state it is a regional festival.",date,0
5,135,0,0,3,Hi team I want to access http://www.dawson.info/ website for research purpose kindly remove the site from the proxy,url,0
6,96,2,2,2,"Hi,I am Daryl Johnson and my employee ID is EMP586-97-4460. 
I am having trouble with my travel claim, my expense amount was $5,343.85 for reimbursement.
 My other details such as designation is Psychologist, forensic and email is corywilson@hotmail.com. 
The payment was done with given credit card number 3583565355496473 and credit card type Diners Club / Carte Blanche.",name ssn money job mail credit_card_number cc_provider,1
7,154,3,4,3,"Hi Team, can you please confirm whether on the 1985-02-11 we have a vacation or not as in my state it is a regional festival.",date,0
8,35,0,2,3,"Hi, I need $15,889.32 for my international business travel that is on 1979-01-04 please see the attached itinerary and approval. Thank you.",money date,0
9,99,1,7,2,"Hi team, I need the catalogue of available Dryer for purchase with the price listed. Please send me the catalogue.",product_name,0
10,14,0,4,2,"Hi I am Jesse House, currently working as Lecturer, further education. I want to upskill and move up the ladder. For that i need access to few educational resources listed below. Please approve the access for same",name job,1
11,188,3,1,2,"Hi, I need a corporate credit card for my international travel with the $631.77. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
12,13,2,2,3,"Dear team, I am shifting to Harperburgh from Reynoldsstad due to business requirement. Please let me know the procedure to claim the travel allowance.",city city,0
13,153,3,7,3,"Hi team, I need the catalogue of available Dryer for purchase with the price listed. Please send me the catalogue.",product_name,0
14,35,0,4,0,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 690-21-7355. Please initiate the recruitment under my project. thanks",ssn,1
15,9,4,5,2,Hi I want to apply for the cashless mode of hospitalization. please provide me the list of hospital that provide cashless mode in my city Rebeccaberg.,city,0
16,188,3,0,3,"hi team, I am Jacqueline Montgomery and my employee id is 073-30-9388. I need the installation of Ananconda for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
17,172,4,5,2,"Hi,I am Michael Cardenas and my employee ID is EMP529-30-4430 from Mcclure-Bowen. 
I am having trouble with health account, my National Health Scheme number is 529-30-4430 and amount was $8.14. 
My other details such as email is robinsondavid@hotmail.com and postal code is 05766. 
Please look into matter. My place of residence is PSC 3470, Box 9970
APO AA 64517.",name ssn company ssn money mail zip_code address,1
18,125,3,3,3,"Hi team, my be leave balance shown in the system is not correct as of 1988-10-10. The leave shown are less. Please resolve the issue.",date,0
19,195,3,1,2,I noticed unauthorized transactions on my credit card statement for the amount of $856.12 on 1978-07-22. The transactions are listed as Long-Dickerson. I did not authorize these transactions and would like them to be reversed immediately to my credit card 2244415868721749.,money date company credit_card_number,1
20,0,4,4,2,Hi HR team I want to refer my friend for the Learning mentor but I cannot access the referral site. Can you please accept this referral through this mail.,job,0
21,2,1,6,2,"I have recently moved and would like to update my account information with my new address. My new address is 2331 Tucker Trace
West Brittanyville, GU 73205. Please assist me with updating my account information.",residence,1
22,197,1,2,3,"Hi,I am Hannah Norman and my employee ID is EMP677-48-2675. 
I am having trouble with my travel claim, my expense amount was $60,287.93 for reimbursement. 
My other details such as email is wendystrong@gmail.com and postal code is 90977 and account number is CVGS64197554549242. 
Please look into matter asap. My place of residence is 160 Wiley Street Suite 014
Littleport, MO 12093.",name ssn money mail zip_code bank_account_number address,1
23,190,4,4,3,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 594-13-1138. Please initiate the recruitment under my project. thanks",ssn,1
24,99,1,4,1,"Hi Team, I was wondering whether this Chartered loss adjuster is still available in this team. I want to refer my friend for this role. please confirm.",job,0
25,55,1,7,3,"I am experiencing technical issues with Heater. It shows error code 500. I have tried troubleshooting by going through help documents, but the issue still persists. Please assist me in resolving the issue. My account details are: username washingtontammy, Email jenniferbryant@gmail.com.",product_name username mail,1
26,4,1,0,2,"hi team, I am Mr. Brian Le and my employee id is 704-87-4299. I need the installation of Intuit for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
27,18,0,5,2,Hi I want to apply for the cashless mode of hospitalization. please provide me the list of hospital that provide cashless mode in my city North Thomasmouth.,city,0
28,62,4,6,2,"Hi team, i do not need access the master database now due to project change. Please revoke my access.",,0
29,20,3,1,3,"Hi,I am Jennifer Wood and my employee ID is EMP637-56-3157. 
I am having trouble with my hardware claim, my expense amount was $8.70 for reimbursement. 
My other details such as designation is Designer, furniture, userid hmiller and email is fvillegas@hotmail.com.",name ssn money job username mail,1
30,87,0,0,2,Hi team I want to access https://carr.com/ website for research purpose kindly remove the site from the proxy. My employee id is 300-57-7536 and my profile is Ophthalmologist.,url ssn job,1
31,37,1,0,3,"Hi, I want the installation of python package Flask. It is required for the development. I am attaching the approval of my manager. PFA. Thank you",python_package,1
