ticket_id,user_id,customer,category,priority,description,attribute_list,sensitive_flag
0,108,3,4,2,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 232-12-0761. Please initiate the recruitment under my project. thanks",ssn,1
1,173,3,1,2,"I noticed unauthorized transactions on my credit card statement for the amount of $91,509.43 on 1977-01-27. The transactions are listed as Woodward-Nunez. I did not authorize these transactions and would like them to be reversed immediately to my credit card 2253386180473400.",money date company credit_card_number,1
2,18,4,1,1,"I made a payment of $8.47 for my account on 2003-08-09, but it has not been credited yet. The payment was made using my credit card 4884938735249587. I have attached a copy of the payment receipt for your reference. Please investigate the issue and update me on the status of the payment. My email address is daniel54@hotmail.com and phone number is 2387642299058",money date credit_card_number mail phone_number,1
3,148,0,1,3,"I made a payment of $321.59 for my account on 2006-05-31, but it has not been credited yet. The payment was made using my credit card 4387641726589381. I have attached a copy of the payment receipt for your reference. Please investigate the issue and update me on the status of the payment. My email address is carterdaniel@hotmail.com and phone number is 9139337506201",money date credit_card_number mail phone_number,1
4,144,1,6,2,"I have recently moved and would like to update my account information with my new address. My new address is 7907 Isaiah Village
South Ronald, MS 46079. Please assist me with updating my account information.",residence,1
5,123,1,0,2,"hi team, I am Maureen Larsen and my employee id is 108-20-8171. I need the installation of Wolfrom for the development purpose. I have attached required approvals in the attachment. thank you.",name ssn software,1
6,162,3,5,3,"Hi,I am Dr. Justin Rowland and I work in Moyer-Velasquez. My employee ID is EMP881-79-1002. 
I am having trouble with health account, my userid is caustin and amount was $279.39. 
My postal code is 81839. My country of residence is PSC 1623, Box 7628
APO AP 87234. 
Please look into matter asap.",name company ssn username money zip_code address,1
7,34,0,6,3,"I have recently moved and would like to update my account information with my new address. My new address is 1003 Joseph Ford
Port Ricardofurt, NM 76430. Please assist me with updating my account information.",residence,1
8,8,3,7,3,"I recently purchased Washing Machine for the amount $8.80 on date 2022-12-29, but it is defective. I have attached a picture of the defect for your reference. I want to return it. Please schedule the pickup for date 2012-07-11 from my home 2763 Chad Court Apt. 213
Lake Heather, IL 91337 and initiate a refund to my credit card 4243914601978126.",product_name money date date residence credit_card_number,1
9,89,1,5,2,"Hi,I am Stacey Perez and from 4459 Elizabeth Avenue
Fieldsberg, IL 26372. 
I am having trouble with my medical claim, my employee ID is EMP083-57-2612 and amount was $47.52. 
The payment was made through my credit card 6560606272277826. 
My other details such as designation is Psychologist, sport and exercise email is jeremy22@hotmail.com and postal code is 30709. 
Please resolve my issue asap.",name address ssn money credit_card_number job mail zip_code,1
10,44,3,3,3,"Hi team, I want a leave from 1971-02-23 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Marisa Rollins, designation Audiological scientist",date name job,1
11,119,3,3,2,"Hi team, I want a leave from 1977-07-10 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:David Ford, designation Electrical engineer",date name job,1
12,178,1,7,3,"Hi, can I make the payment of purchase of product by my personal credit card? I do not have corporate one issued yet.",,0
13,45,1,5,2,"Hi,I am Joe Harvey and my employee ID is EMP218-67-3297 from Henderson PLC. 
I am having trouble with health account, my National Health Scheme number is 218-67-3297 and amount was $1,189.34. 
My other details such as email is jasmine88@gmail.com and postal code is 78550. 
Please look into matter. My place of residence is 41457 Lewis Extension
West Caleb, WY 26825.",name ssn company ssn money mail zip_code address,1
14,68,2,4,2,"Dear team, I want more members in my team. The project requires more skilled employee for the early completion of client project. My employee id is 383-43-0767. Please initiate the recruitment under my project. thanks",ssn,1
15,187,1,1,3,"I noticed unauthorized transactions on my credit card statement for the amount of $26,919.54 on 2022-12-21. The transactions are listed as Walker, Mason and Melendez. I did not authorize these transactions and would like them to be reversed immediately to my credit card 589478115696.",money date company credit_card_number,1
16,192,4,1,2,"Hi, I need a corporate credit card for my international travel with the $336.77. Please issue the same at the earliest. I have attached the approval and important documents. Thank you.",money,0
17,75,1,1,2,I noticed unauthorized transactions on my credit card statement for the amount of $50.97 on 1985-12-08. The transactions are listed as Dyer Group. I did not authorize these transactions and would like them to be reversed immediately to my credit card 3527937770566744.,money date company credit_card_number,1
18,152,2,3,3,"Hi team, I want a leave from 1980-08-23 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Joyce Walton, designation Music therapist",date name job,1
19,37,1,0,3,Hi team I want to access https://www.carrillo.org/ website for research purpose kindly remove the site from the proxy. My employee id is 306-97-0459 and my profile is Barrister's clerk.,url ssn job,1
20,95,1,3,3,"Hi team, I am Caitlin Torres, employee id 272-99-0727. I want to unpaid leave for the year. I am going to take executive degree from ISB Hyderabad. Thank you.",name ssn,1
21,117,3,6,3,"Hi team, i do not need access the master database now due to project change. Please revoke my access.",,0
22,31,4,3,3,"Hi team, I want a leave from 2019-10-12 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Paul Smith, designation Producer, television/film/video",date name job,1
23,68,2,3,2,"Hi team, I want a leave from 1977-08-28 for 15 days due to personal reasons. The system is not allowing for said days. Kindly approve it. My details are name:Nina Hammond, designation Planning and development surveyor",date name job,1
24,84,2,5,2,"Hi,I am Thomas Andrews and my employee ID is EMP007-80-4655 from Schultz Inc. 
I am having trouble with health account, my National Health Scheme number is 007-80-4655 and amount was $3,896.62. 
My other details such as email is afry@yahoo.com and postal code is 20147. 
Please look into matter. My place of residence is 35684 Sean Mall Suite 013
Smithtown, MS 02980.",name ssn company ssn money mail zip_code address,1
25,75,1,6,0,"I have recently moved and would like to update my account information with my new address. My new address is 5018 Douglas Track
Port Morgantown, KY 78695. Please assist me with updating my account information.",residence,1
26,48,0,5,3,"Hi,I am Shaun Walsh and my employee ID is EMP730-77-7946 from Erickson-Roy. 
I am having trouble with health account, my National Health Scheme number is 730-77-7946 and amount was $4,118.63. 
My other details such as email is cathy44@hotmail.com and postal code is 86434. 
Please look into matter. My place of residence is USCGC Gray
FPO AA 59825.",name ssn company ssn money mail zip_code address,1
